id,text,category,urgency,recommended_action
MSG0095,Is there a fee breakdown available for Data Science materials and lab charges?,Financial difficulty,Low,Financial aid office referral
MSG0039,I'd like some feedback on my last submission for Natural Language Processing when you have time.,Academic difficulty,Low,Academic advisor follow-up
MSG0096,Is there a fee breakdown available for Database Systems materials and lab charges?,Financial difficulty,Low,Financial aid office referral
MSG0106,The anxiety around my exams has become unbearable and it's affecting every part of my life.,Personal/Mental health,High,Counselling services referral
MSG0037,I had a small doubt about the grading rubric used for the Operating Systems project.,Academic difficulty,Low,Academic advisor follow-up
MSG0048,Could you clarify the deadline extension policy for Software Engineering assignments?,Academic difficulty,Low,Academic advisor follow-up
MSG0042,Is there a recommended textbook for Natural Language Processing that covers the topics in more depth?,Academic difficulty,Low,Academic advisor follow-up
MSG0132,I've been feeling quite disconnected from my classmates and struggling to keep up with Software Engineering.,Personal/Mental health,Medium,Counselling services referral
MSG0003,I don't understand anything that has been taught in Statistics this semester and the mid-terms are next week.,Academic difficulty,High,Academic advisor follow-up
MSG0017,I've missed the last three weeks of Natural Language Processing due to a family emergency and I'm at risk of failing.,Academic difficulty,High,Academic advisor follow-up
MSG0113,I feel completely burnt out and don't know how much longer I can keep pushing through Machine Learning.,Personal/Mental health,High,Counselling services referral
MSG0011,I've missed the last three weeks of Computer Networks due to a family emergency and I'm at risk of failing.,Academic difficulty,High,Academic advisor follow-up
MSG0082,"Managing both hostel and Operating Systems material costs this month has been tight, are there any aid options?",Financial difficulty,Medium,Financial aid office referral
MSG0091,I wanted to check the refund policy in case I withdraw from an elective.,Financial difficulty,Low,Financial aid office referral
MSG0070,I lost my scholarship and I don't know how I'll continue paying for Data Structures materials and tuition.,Financial difficulty,High,Financial aid office referral
MSG0043,I'd like some feedback on my last submission for Database Systems when you have time.,Academic difficulty,Low,Academic advisor follow-up
MSG0125,I've been feeling quite stressed and low on energy for the past couple of weeks.,Personal/Mental health,Medium,Counselling services referral
MSG0173,I wanted to know the process for adding a minor elective alongside Data Structures.,Administrative,Low,Route to administrative office
MSG0107,I've been isolating myself from everyone and I don't see the point in continuing like this.,Personal/Mental health,High,Counselling services referral
MSG0167,I wanted to know the process for adding a minor elective alongside Machine Learning.,Administrative,Low,Route to administrative office
MSG0197,A few students in Natural Language Processing have been making uncomfortable comments about me in the group chat.,Harassment/Safety,Medium,Escalate to student safety/conduct office
MSG0020,The pace of Computer Networks has been too fast for me and I'm falling behind on assignments.,Academic difficulty,Medium,Academic advisor follow-up
MSG0190,I'm being bullied by classmates in my Data Structures group and it has gotten worse over the past week.,Harassment/Safety,High,Escalate to student safety/conduct office
MSG0162,Can you share the academic calendar for this semester?,Administrative,Low,Route to administrative office
MSG0087,"Managing both hostel and Software Engineering material costs this month has been tight, are there any aid options?",Financial difficulty,Medium,Financial aid office referral
MSG0038,Is there a recommended textbook for Database Systems that covers the topics in more depth?,Academic difficulty,Low,Academic advisor follow-up
MSG0013,I have fallen so far behind in Data Science that I don't think I can catch up before the exam.,Academic difficulty,High,Academic advisor follow-up
MSG0157,I need to request a leave of absence for Natural Language Processing due to a family function next week.,Administrative,Medium,Route to administrative office
MSG0179,Explicit messages are being circulated about me in a Statistics class group and I need this addressed urgently.,Harassment/Safety,High,Escalate to student safety/conduct office
MSG0177,I witnessed a faculty member behaving inappropriately toward a student and want to report it confidentially.,Harassment/Safety,High,Escalate to student safety/conduct office
MSG0155,My transcript has an error in my Computer Networks grade and I need it corrected before applications close.,Administrative,Medium,Route to administrative office
MSG0101,Is there a fee breakdown available for Natural Language Processing materials and lab charges?,Financial difficulty,Low,Financial aid office referral
MSG0178,I've been followed and cornered by the same student twice this week and I'm genuinely scared.,Harassment/Safety,High,Escalate to student safety/conduct office
MSG0145,I need to update my address on record but I'm not sure which office to contact.,Administrative,Medium,Route to administrative office
MSG0002,I've missed the last three weeks of Machine Learning due to a family emergency and I'm at risk of failing.,Academic difficulty,High,Academic advisor follow-up
MSG0171,I wanted to know the process for adding a minor elective alongside Database Systems.,Administrative,Low,Route to administrative office
MSG0040,Could you clarify the deadline extension policy for Natural Language Processing assignments?,Academic difficulty,Low,Academic advisor follow-up
MSG0047,I'd like some feedback on my last submission for Machine Learning when you have time.,Academic difficulty,Low,Academic advisor follow-up
MSG0123,I've been feeling quite disconnected from my classmates and struggling to keep up with Computer Networks.,Personal/Mental health,Medium,Counselling services referral
